id,name,genus
myid,Calochortus,<b>Calochortus</b>
myid,Calodendrum,<b>Calodendrum</b>
myid,Calomeria,<b>Calomeria</b>
myid,Calophaca,<b>Calophaca</b>
myid,Calophyllum,<b>Calophyllum</b>
myid,Calopyxis,<b>Combretum</b>
myid,Caloscordum,none
myid,Calothamnus,<b>Calothamnus</b>
myid,Calotropis,<b>Calotropis</b>
myid,Caltha,<b>Caltha</b>
myid,Calycanthus,<b>Calycanthus</b>
myid,Calymmanthium,<b>Calymmanthium</b>
myid,Calytrix,<b>Calytrix</b>
myid,Camassia,none
myid,Camellia,<b>Camellia</b>
myid,Campanula,<b>Campanula</b>
myid,Campsis,<b>Campsis</b>
myid,Campylotropsis,<b>Campylotropsis</b>
myid,Cananga,none
myid,Canarina,<b>Canarina</b>
myid,Canistrum,<b>Canistrum</b>
myid,Cantua,<b>Cantua</b>
myid,Capparis,<b>Capparis</b>
myid,Capsicum,<b>Capsicum</b>
myid,Caragana,<b>Caragana</b>
myid,Caralluma,<b>Caralluma</b>
myid,Cardamine,<b>Cardamine</b>
myid,Cardiocrinum,<b>Cardiocrinum</b>
myid,Cardiospermum,<b>Cardiospermum</b>
myid,Cardwellia,<b>Cardwellia</b>
myid,Carex,<b>Carex</b>
myid,Carissa,<b>Carissa</b>
myid,Carlina,<b>Carlina</b>
myid,Carludovica,<b>Carludovica</b>
myid,Carmichaelia,<b>Carmichaelia</b>
s,k,i,p,p,e,d
myid,Carpentaria,<b>Carpentaria</b>
myid,Carpenteria,<b>Carpenteria</b>
myid,Carphalea,none
myid,Carpinus,none
myid,Carpobrotus,<b>Carpobrotus</b>
myid,Carthamus,<b>Carthamus </b>
myid,Carum,<b>Carum</b>
myid,Carya,<b>Carya</b>
myid,Caryopteris,<b>Caryopteris</b>
myid,Caryota,<b>Caryota</b>
myid,Cassinia,<b>Cassinia</b>
myid,Cassiope,none
myid,Cassipourea,<b>Cassipourea</b>
myid,Chestnut,<b>Castanea</b>
myid,Castanopsis,<b>Castanopsis</b>
myid,Castanospermum,<b>Castanospermum</b>
myid,Casuarina,<b>Casuarina</b>
myid,Catalpa,<b>Catalpa</b>
myid,Catananche,Catananche
myid,Catasetum,<b>Catasetum</b>
myid,Khat,Catha
myid,Catharanthus,<b>Catharanthus</b>
myid,Catopsis,<b>Catopsis</b>
myid,Cattleya,<b>Cattleya</b>
myid,Caulophyllum,<b>Caulophyllum</b>
myid,Cautleya,none
myid,Cavendishia,<b>Cavendishia</b>
myid,Ceanothus,<b>Ceanothus</b>
myid,Cedrela,<b>Cedrela</b>
myid,Cedronella,<b>Cedronella</b>
myid,Cedrus,<b>Cedrus</b>
myid,Ceiba,<b>Ceiba</b>
myid,Celastrus,<b>Celastrus</b>
myid,Celmisia,<b>Celmisia</b>
myid,Celosia,[1]
myid,Celtis,<b>Celtis</b>
myid,Centaurea,<b>Centaurea</b>
myid,Centaurium,<b>Centaurium</b>
myid,Centradenia,<b>Centradenia</b>
myid,Centranthus,<b>Centranthus</b>
myid,Cephalaria,<b>Cephalaria</b>
myid,Cephalocereus,<b>Cephalocereus</b>
myid,Cephalophyllum,<b>Cephalophyllum</b>
myid,Cephalotaxus,<b>Cephalotaxus</b>
myid,Ceraria,<b>Ceraria</b>
myid,Cerastium,<b>Cerastium</b>
myid,Ceratonia,<b>Ceratonia</b>
myid,Ceratopetalum,<b>Ceratopetalum</b>
myid,Ceratophyllum,none
myid,Ceratopteris,<b>Ceratopteris</b>
myid,Ceratostigma,<b>Ceratostigma</b>
myid,Ceratozamia,<b>Ceratozamia</b>
myid,Cerbera,<b>Cerbera</b>
myid,Cercidiphyllum,<b>Cercidiphyllum</b>
myid,Cercis,<b>Cercis</b>
myid,Cercocarpus,<b>Cercocarpus</b>
myid,Ceropegia,<b>Ceropegia</b>
myid,Cestrum,<b>Cestrum</b>
myid,Chadsia,<b>Chadsia</b>
myid,Chaenomeles,<b>Chaenomeles</b>
myid,Chaenorhinum,<b>Chaenorhinum</b>
myid,Chaerophyllum,<b>Chaerophyllum</b>
myid,Chamaecyparis,<b>Chamaecyparis</b>
myid,Chamaecytisus,<b>Chamaecytisus</b>
myid,Chamaedaphne,<b>Chamaedaphne</b>
myid,Chamaedorea,<b>Chamaedorea</b>
myid,Chamaelirium,<b>Chamaelirium</b>
myid,Chamaemelum,<b>Chamaemelum</b>
myid,Chamaerops,L.
myid,Chamelaucium,<b>Chamelaucium</b>
myid,Chasmanthe,<b>Chasmanthe</b>
myid,Chasmanthium,<b>Chasmanthium</b>
myid,Cheilanthes,<b>Cheilanthes</b>
myid,Cheiridopsis,<b>Cheiridopsis</b>
myid,Chelidonium,<b>Chelidonium</b>
myid,Chiastophyllum,Umbilicus
myid,Chiliotrichum,<b>Chiliotrichum</b>
myid,Chilopsis,<b>Chilopsis</b>
myid,Chimaphila,<b>Chimaphila</b>
myid,Chimonanthus,<b>Chimonanthus</b>
myid,Chimonobambusa,<b>Chimonobambusa</b>
myid,Chionanthus,<b>Chionanthus</b>
myid,Chionochloa,<b>Chionochloa</b>
myid,Chionodoxa,none
myid,Chionoscilla,Chionoscilla
myid,Chirita,<b>Chirita</b>
myid,Chlidanthus,none
myid,Choisya,<b>Choisya</b>
myid,Chonemorpha,<b>Chonemorpha</b>
myid,Choricarpia,<b>Choricarpia</b>
myid,Chorisia,<b>Charissa</b>
myid,Chorizema,<b>Chorizema</b>
myid,Chrysalidocarpus,Dypsis
myid,Chrysanthemoides,<b>Chrysanthemoides</b>
myid,Chrysanthemum,<b>Chrysanthemum</b>
myid,Chrysobalanus,<b>Chrysobalanus</b>
myid,Chrysogonum,<b>Chrysogonum</b>
myid,Chrysolepis,<b>Chrysolepis</b>
myid,Chrysolepis,<b>Chrysolepis</b>
myid,Chrysophyllum,<b>Chrysophyllum</b>
myid,Chusquea,<b>Chusquea</b>
myid,Cibotium,<b>Cibotium</b>
myid,Cicerbita,<b>Cicerbita</b>
myid,Cichorium,<b>Cichorium</b>
myid,Cimicifuga,<b>Cimicifuga</b>
myid,Cinnamomum,<b>Cinnamomum</b>
myid,Cionura,<b>Cionura</b>
myid,Cirsium,<b>Cirsium</b>
myid,Cissus,<b>Cissus</b>
myid,Cistus,<b>Cistus</b>
myid,Citharexylum,<b>Citharexylum</b>
myid,Citrofortunella,none
myid,Citrus,<b>Citrus</b>
myid,Cladanthus,<b>Cladanthus</b>
myid,Cladrastis,<b>Cladrastis</b>
myid,Clarkia,<b>Clarkia</b>
myid,Claytonia,<b>Claytonia</b>
myid,Cleistocactus,<b>Cleistocactus</b>
myid,Clematis,<b>Clematis</b>
myid,Cleome,<b>Cleome</b>
myid,Clerodendrum,<b>Clerodendrum</b>
myid,Clethra,<b>Clethra</b>
myid,Cleyera,<b>Cleyera</b>
myid,Clianthus,<b>Clianthus</b>
myid,Clintonia,<b>Clintonia</b>
myid,Clitoria,<b>Clitoria</b>
myid,Clivia,none
myid,Clusia,<b>Clusia</b>
myid,Clytostoma,<b>Clytostoma</b>
myid,Cobaea,<b>Cobaea</b>
myid,Coccoloba,<b>Coccoloba</b>
myid,Coccothrinax,<b>Coccothrinax</b>
myid,Cocculus,<b>Cocculus</b>
myid,Cochlioda,Cochlioda
myid,Cochlospermum,<b>Cochlospermum</b>
myid,Codiaeum,<b>Codiaeum</b>
myid,Codonanthe,<b>Codonanthe</b>
myid,Codonopsis,<b>Codonopsis</b>
myid,Coelia,<b>Coelia</b>
myid,Coelogyne,<b>Coelogyne</b>
myid,Coffea,<b>Coffea</b>
myid,Coix,<b>Coix</b>
myid,Colchicum,<b>Colchicum</b>
myid,Coleonema,<b>Coleonema</b>
myid,Colletia,<b>Colletia</b>
myid,Collinsia,<b>Collinsia</b>
myid,Collomia,<b>Collomia</b>
myid,Colocasia,<b>Colocasia</b>
myid,Colquhounia,<b>Colquhounia</b>
myid,Columnea,<b>Columnea</b>
myid,Colutea,<b>Colutea</b>
myid,Coluteocarpus,none
myid,Colvillea,<b>Colvillea</b>
myid,Combretum,<b>Combretum</b>
myid,Comesperma,<b>Comesperma</b>
myid,Commelina,<b>Commelina</b>
myid,Commersonia,<b>Commersonia</b>
myid,Commidendrum,<b>Commidendrum</b>
myid,Commiphora,<b>Commiphora</b>
myid,Comptonella,Comptonella
myid,Comptonia,<b>Comptonia</b>
myid,Conandron,<b>Conandron</b>
myid,Congea,<b>Congea</b>
myid,Conicosia,<b>Conicosia</b>
myid,Coniogramme,<b>Coniogramme</b>
myid,Conoclinium,<b>Conoclinium</b>
myid,Conophytum,<b>Conophytum</b>
myid,Conospermum,<b>Conospermum</b>
myid,Conostylis,<b>Conostylis</b>
myid,Conradina,<b>Conradina</b>
myid,Consolida,<b>Consolida</b>
myid,Convallaria,none
